date	close
16/Dec/17	1
15/Dec/17	9
14/Dec/17	1
05/Dec/17	3
22/Nov/17	1
01/Nov/17	1
09/Nov/17	1
01/Nov/17	1
31/Oct/17	4
30/Oct/17	1
23/Oct/17	2
21/Oct/17	1
